,id,name,cardType,assetId,definitionId,Is_Pos,Chemistry,rating,teamId,leagueId,nationId,rarityId,ratingTier,isDuplicate,isStorage,preferredPosition,possiblePositions,groups,isFixed,concept,price,futggPrice,maxChem,normalizeClubId,teamChem.calculationType,teamChem.contribution,teamChem.parameterId,leagueChem.calculationType,leagueChem.contribution,leagueChem.parameterId,nationChem.calculationType,nationChem.contribution,nationChem.parameterId,Org_Row_ID
5,698115782791,Hancock,Bronze Common,264352,264352,1,0,61,1803,61,14,0,1,False,False,7,7,0,False,False,200,200,False,1803,1,1,1,1,1,2,1,1,3,7
10,698115782776,Ogundere,Bronze Common,263938,263938,1,0,60,112259,60,14,0,1,False,False,5,12,0,False,False,200,200,False,112259,1,1,1,1,1,2,1,1,3,12
11,698115782812,Schroers,Bronze Common,257916,50589564,0,0,63,1826,2076,21,0,1,False,False,27,16,0,False,False,200,200,False,1826,1,1,1,1,1,2,1,1,3,13
15,698115782801,Bock,Bronze Common,75952,75952,0,0,57,27,2076,21,0,1,False,False,23,12,0,False,False,200,200,False,27,1,1,1,1,1,2,1,1,3,17
17,698115782802,Kumbulla,Gold Common,245426,245426,1,0,77,453,53,1,0,3,False,False,5,5,0,False,False,350,600,False,453,1,1,1,1,1,2,1,1,3,19
19,699225818180,Javi Rueda,Silver Common,72426,72426,1,0,66,450,53,45,0,2,False,False,3,3,0,False,False,400,5100,False,450,1,1,1,1,1,2,1,1,3,21
23,699225952603,Gomez,Gold Common,225100,225100,1,0,79,9,13,14,0,3,False,False,5,5,0,False,False,400,450,False,9,1,1,1,1,1,2,1,1,3,25
26,699225952597,Badé,Gold Common,255106,255106,0,0,78,32,19,18,0,3,False,False,5,5,0,False,False,450,450,False,32,1,1,1,1,1,2,1,1,3,28
30,699225818177,Zeller,Silver Common,264914,264914,1,0,72,116003,2215,23,0,2,False,False,16,14,0,False,False,450,550,False,31,1,1,1,1,1,2,1,1,3,32
31,698115782804,Pécsi,Bronze Common,79922,79922,1,0,64,9,13,23,0,1,False,False,0,0,0,False,False,600,600,False,9,1,1,1,1,1,2,1,1,3,33
32,698115782798,Javi Llabrés,Silver Common,264110,264110,1,0,69,453,53,45,0,2,False,False,16,16,0,False,False,650,1500,False,453,1,1,1,1,1,2,1,1,3,34
